Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2005-01-03,81.60596466064453,82.59636059306017,81.33462210406094,82.46068672705397,55748000
2005-01-04,80.60882568359375,81.7688106705109,80.34426797651255,81.71454109587079,69167600
2005-01-05,80.05255126953125,80.8937087203118,80.04576628089553,80.54774675590959,65667300
2005-01-06,80.45955657958984,80.82586830703545,80.22213374942034,80.34423765856887,47814700
2005-01-07,80.34425354003906,80.88015384859733,80.13396026995255,80.70378035042397,55847700
2005-01-10,80.72413635253906,81.03617861150556,80.27642017091475,80.27642017091475,56563300
2005-01-11,80.16786193847656,80.54773845605398,80.03897304482877,80.47990410297649,63099700
2005-01-12,80.43244934082031,80.61560267953604,79.72017543101525,80.31713038031666,72720500
2005-01-13,79.78800964355469,80.54098309479579,79.70660528989072,80.47992853569006,55537500
2005-01-14,80.20857238769531,80.40529566108688,79.88296537861487,80.02541909201632,42032500
2005-01-18,81.04297637939453,81.14473054357353,80.01187510634722,80.07971466608774,57391700
2005-01-19,80.19503021240234,81.07688752162179,80.18824522163168,81.01583813098043,54378900
2005-01-20,79.70662689208984,80.18147281191231,79.5641731161431,79.97118464390985,72049300
2005-01-21,79.21817016601562,80.04576277874598,79.12998601932932,79.90330907620826,63160400
2005-01-24,79.06216430664062,79.59805943623267,78.94006037416167,79.42847092864693,58441900
2005-01-25,79.28600311279297,79.68623461079092,79.1774691784504,79.30635807744747,68245000
2005-01-26,79.52344512939453,79.77443280795168,79.39455620769402,79.58449450782285,57195100
2005-01-27,79.65913391113281,79.87620704811042,79.35387659131277,79.49633035225757,55878800
2005-01-28,79.65913391113281,79.74053827828635,79.10288367416325,79.69983350699367,60738900
2005-01-31,80.154296875,80.21534623994059,79.84903452400899,80.01183800594657,52532700
2005-02-01,80.66307067871094,80.77838960810776,80.11360045991856,80.21535458750455,49841200
2005-02-02,80.90727233886719,81.12434539316581,80.65628469274587,80.76481863218025,52468900
2005-02-03,80.69697570800781,80.83264958718782,80.43241811289342,80.76481005988316,48837100
2005-02-04,81.55847930908203,81.69414799834144,80.71053706263882,80.72410186139327,50024600
2005-02-07,81.44994354248047,81.75520069349048,81.37532420771288,81.57204743797027,45412000
2005-02-08,81.544921875,81.8433992477855,81.44995274282816,81.51778709788954,39263500
2005-02-09,80.93441772460938,81.73487568763431,80.89371813891624,81.68739111251548,55279400
2005-02-10,81.22611236572266,81.4160506713447,80.90050532049361,81.17184797513826,45858600
2005-02-11,81.9248275756836,82.10798609254135,81.03618530446167,81.19898884966636,53133000
2005-02-14,81.86377716064453,81.98588111187502,81.72810840391347,81.87056215111048,32432100
2005-02-15,82.16902160644531,82.37252988516107,81.8637643638022,81.9451687103746,43852700
2005-02-16,82.22327423095703,82.39286270313757,81.85696250999555,82.03333597018356,55523000
2005-02-17,81.55847930908203,82.3046674508663,81.55169432199044,82.23683310623659,58124000
2005-02-18,81.66705322265625,81.7281077855252,81.33466114837823,81.5652990681622,47723300
2005-02-22,80.45277404785156,81.72129774410146,80.4392092466118,81.33463621589712,80697600
2005-02-23,81.0293960571289,81.11080041317048,80.46636608132587,80.67665419847769,68292600
2005-02-24,81.56529998779297,81.61956956085918,80.71057750144126,80.88694585075942,68563600
2005-02-25,82.3725357055664,82.53533923478432,81.52459311005305,81.5856424927232,60899900
2005-02-28,81.82984161376953,82.28434272963442,81.42961523574128,82.18258859398019,69381300
2005-03-01,82.23686981201172,82.43358794661283,81.93160736178345,81.95874214683248,47294400
2005-03-02,82.19615936279297,82.71170989221167,81.84341753241009,81.91803689227717,64226500
2005-03-03,82.23006439208984,82.69134527245743,81.87731744952241,82.52854177804234,61230800
2005-03-04,83.25437927246094,83.32221362969577,82.61672492850826,82.79309839766258,56168500
2005-03-07,83.29508972167969,83.60713194602498,83.03053207113847,83.2069055633094,43442400
2005-03-08,82.9830551147461,83.4375511022239,82.83381639039675,83.21369301569989,44362000
2005-03-09,82.06050109863281,82.95592835592196,82.05371610811578,82.73885523825888,73263600
2005-03-10,82.24365234375,82.42002586467993,81.67383736518883,82.21651755780452,65149000
2005-03-11,81.66705322265625,82.56926545684215,81.51103467113916,82.29113777958717,57976500
2005-03-14,82.1758041381836,82.18937411658841,81.5924192771052,81.8162773419114,36336400
2005-03-15,81.49744415283203,82.39287117095436,81.45674457146328,82.3657363915652,62438500
2005-03-16,80.80548858642578,81.51097700291197,80.65624995547691,81.19892976978562,74874200
2005-03-17,80.96833038330078,81.22610302909636,80.7105577375052,80.93441061458265,62584200
2005-03-18,80.72796630859375,81.40217344183748,80.4623694016868,81.11614680297784,60232000
2005-03-21,80.42826080322266,80.8913534585789,80.1967170734232,80.84368238504624,61244300
2005-03-22,79.6110610961914,80.99352777484256,79.6110610961914,80.6121590899067,92472400
2005-03-23,79.67913818359375,80.16947217296777,79.50888361482538,79.64508519153723,70817300
2005-03-24,79.77449798583984,80.35336260864206,79.72001526479161,79.99242367427449,51932500
2005-03-28,79.89030456542969,80.31934968530926,79.89030456542969,79.96521704046388,46765500
2005-03-29,79.35907745361328,80.29207458067566,79.16839312300394,79.77449911490864,71160300
2005-03-30,80.48277282714844,80.49639091207874,79.52253417314645,79.52934581349122,62002100
2005-03-31,80.33293151855469,80.67344072566746,80.27164235523831,80.48956803996016,64575400
2005-04-01,79.9720230102539,81.03441047791621,79.61789558628652,80.7892433398772,95255300
2005-04-04,80.10821533203125,80.26485189476645,79.50210919910552,79.92434259780775,71581200
2005-04-05,80.48957824707031,80.61896822906593,80.13544571713992,80.21035816786524,46853900
2005-04-06,80.76880645751953,81.00716193290245,80.48277988706,80.66665262642408,53268200
2005-04-07,81.20465087890625,81.21827415960384,80.57811505655754,80.63940942817818,46734600
2005-04-08,80.36021423339844,81.18424631518181,80.36021423339844,81.15700494110293,63772900
2005-04-11,80.42146301269531,80.6462003390845,80.24440196380526,80.55766981463947,44945000
2005-04-12,80.8369140625,81.08208119939661,79.72685550071155,80.28529060236269,86144800
2005-04-13,79.88346099853516,80.90498860621076,79.76768392088911,80.74154044803683,65949000
2005-04-14,78.84148406982422,80.01964798155818,78.84148406982422,79.9515471926402,96119800
2005-04-15,77.73825073242188,79.13433532299338,77.70419773441071,78.82106748517111,128677300
2005-04-18,77.97664642333984,78.28991442303403,77.60889567697866,77.71786117031266,100035200
2005-04-19,78.5963134765625,78.6780323358196,78.20132167096462,78.38519430004966,64930100
2005-04-20,77.49989318847656,78.7461528665162,77.32963859464928,78.57589827268893,107735900
2005-04-21,79.00496673583984,79.14116837321754,77.89490312774997,78.17412323886147,86952200
2005-04-22,78.70526885986328,79.33861595904037,77.81994317000067,78.82104070054733,88845800
2005-04-25,79.22290802001953,79.3386799540859,78.80748619000683,78.9028283940333,52284100
2005-04-26,78.45333862304688,79.5225375897054,78.41929081137869,78.97091420054204,72626000
2005-04-27,78.75979614257812,79.0458226858548,77.93576432270437,78.22179086598105,84131900
2005-04-28,77.77229309082031,78.78020252975843,77.77229309082031,78.50098251373397,72481500
2005-04-29,78.8279037475586,78.9096278508589,77.6156914586153,78.36481088704276,103993800
2005-05-02,79.27058410644531,79.27739574880707,78.67128427686961,79.04584667035442,56026400
2005-05-03,79.40675354003906,79.57700815963423,78.78702942650712,79.04581457781867,86000300
2005-05-04,80.01971435546875,80.18996906686337,79.1888705325412,79.44084937587935,81055700
2005-05-05,79.99244689941406,80.36019757962555,79.50211265913207,80.13546018686968,96906700
2005-05-06,79.7404556274414,80.3533733316309,79.72002590326159,80.31251388327125,67415400
2005-05-09,80.23757934570312,80.4146455661231,79.71319751830545,79.82215774919331,43750500
2005-05-10,79.40675354003906,80.01967120973343,79.26374028307015,79.92432903842082,74613500
2005-05-11,79.84262084960938,79.95158632181274,78.89600539182126,79.63150674191495,91647400
2005-05-12,78.96410369873047,80.08097377443957,78.96410369873047,79.89710104065311,95086800
2005-05-13,78.80745697021484,79.42037462295974,78.18092123441274,79.20244892373472,85267000
2005-05-16,79.54296112060547,79.57019728773585,78.76660046342178,78.79383663055216,49207000
2005-05-17,80.07415008544922,80.15586897364076,79.10710513962104,79.27735975103128,61071800
2005-05-18,80.89820098876953,81.09569700838772,80.36700730637007,80.42148484617951,77944900
2005-05-19,81.23872375488281,81.32044787177932,80.83692000817562,81.0548457908058,61768100
2005-05-20,81.12289428710938,81.3067669250235,80.86410403168463,81.27271393486019,46345500
2005-05-23,81.57240295410156,81.74946923596552,81.1706044943726,81.18422257955014,51047900
2005-05-24,81.38172149658203,81.60645887824107,81.17741384129937,81.3408620438293,50654100
2005-05-25,81.32038116455078,81.63364889537266,80.92538938387077,81.27951654174359,47608800
2005-05-26,81.7562484741211,81.86520869963536,81.46341039915042,81.57918226243348,43256200
2005-05-27,81.89248657226562,81.89248657226562,81.58603028086034,81.76309137574538,24596100
2005-05-31,81.36811828613281,81.83801766597183,81.31363554199596,81.77672847563822,43377200
2005-06-01,82.06272888183594,82.3487554035706,81.34765738174049,81.39532846869628,69611000
2005-06-02,82.23979949951172,82.29427703337457,81.79032477376944,81.87886050834484,39704500
2005-06-03,81.82438659667969,82.32833891059417,81.538360028979,82.09679507838685,60999400
2005-06-06,81.74945068359375,81.8584109275644,81.41575311700109,81.68815632480677,36046400
2005-06-07,81.81072998046875,82.57347237931117,81.72901110628537,81.98779620079526,66501300
2005-06-08,81.66094207763672,82.12402973349789,81.49749387417563,82.01506946028336,46881200
2005-06-09,82.04910278320312,82.11720358709353,81.34084299207474,81.54514540374595,56653300
2005-06-10,81.8584213256836,82.16488276703066,81.44981126631295,82.10358840045772,36465300
2005-06-13,82.11722564697266,82.45773495365697,81.59283840505339,81.6813741500775,49383200
2005-06-14,82.307861328125,82.53940502570772,81.9809703009861,82.02864136788588,33857100
2005-06-15,82.46455383300781,82.566707679568,81.87888251730105,82.51223013106164,53195600
2005-06-16,82.6756591796875,82.83910218907357,82.34876796515577,82.44411015361095,46564500
2005-06-17,82.98197937011719,83.35121424657378,82.88625238919094,83.10505766226939,51529400
2005-06-20,83.00931549072266,83.31016942569379,82.69478329427706,82.79051025768536,41019400
2005-06-21,83.05718994140625,83.18026822728963,82.75633074997378,83.07770211959865,39879800
2005-06-22,83.12557220458984,83.37856792807516,82.7836886296402,83.20078700841712,46310100
2005-06-23,81.95631408691406,83.14606722146678,81.93580191132789,82.95461329369142,62185600
2005-06-24,81.35462951660156,82.05890894783396,81.25889730242609,81.97001586682747,58572500
2005-06-27,81.47087860107422,81.64865956796956,81.19737062509617,81.34780027272063,48183800
2005-06-28,82.15460205078125,82.2161385737237,81.6212646517016,81.64177682601574,41174200
