Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2005-05-17,52.842262268066406,52.89911718107159,52.78540341145902,52.85776851194075,99400
2005-05-18,52.9818229675293,53.00766933666167,52.84742894652498,52.93013417286679,330800
2005-05-19,52.85257339477539,52.91460228447027,52.7440257955096,52.88875592786398,64200
2005-05-20,52.79054641723633,52.883587783348574,52.72852146889514,52.883587783348574,113600
2005-05-23,52.96635437011719,52.97669055895538,52.82679018736862,52.831960253590246,104300
2005-05-24,53.059356689453125,53.08519911428099,52.93530279691378,53.04901656464026,81500
2005-05-25,53.049015045166016,53.15756269097909,52.98182001021564,53.15756269097909,102500
2005-05-26,53.0438346862793,53.06451098615986,52.91461076972652,53.00765214738856,69500
2005-05-27,53.007667541503906,53.10070894618637,52.935302442706664,53.02833990378702,140400
2005-05-31,53.152381896972656,53.18856443558703,53.03349415946774,53.13687565808092,65400
2005-06-01,53.54555892944336,53.54555892944336,53.20843479414356,53.26030308957074,266900
2005-06-02,53.50924301147461,53.52998953418104,53.43663216049942,53.52480191425578,269800
2005-06-03,53.37436294555664,53.66480616659807,53.343241202593546,53.64924727361258,70700
2005-06-06,53.384727478027344,53.43659176709123,53.31730429794346,53.38991509403122,104200
2005-06-07,53.524776458740234,53.54033931111457,53.44179436437407,53.52477645874024,154400
2005-06-08,53.426231384277344,53.52995998355264,53.40029725596231,53.51958870642208,109900
2005-06-09,53.42110061645508,53.43147190462248,53.192892706806056,53.38998279495626,107400
2005-06-10,53.213623046875,53.34847349399504,53.17212999283877,53.34847349399504,77700
2005-06-13,53.16693115234375,53.2084202375415,53.06319854686362,53.20323657501322,87900
2005-06-14,53.099483489990234,53.156535411751804,53.042431568228665,53.15135175122276,129800
2005-06-15,53.068355560302734,53.12540747116472,53.00611603291003,53.09428968596437,105800
2005-06-16,53.229156494140625,53.24471934970728,53.0839348314667,53.16173328132588,89500
2005-06-17,53.229156494140625,53.24471934970728,53.10986896708427,53.1669208998481,76100
2005-06-20,53.10989761352539,53.21362629795784,53.06321693563382,53.166949577061935,72300
2005-06-21,53.32767868041992,53.32767868041992,53.115033895769486,53.2498802637949,75100
2005-06-22,53.555908203125,53.56109186455796,53.270648544573774,53.44699195813093,71600
2005-06-23,53.5040283203125,53.54033372474575,53.426229894529165,53.49365308647882,113400
2005-06-24,53.5870246887207,53.60777120492537,53.48329606469071,53.59739596832635,171000
2005-06-27,53.6285514831543,53.664856920120336,53.56631189535716,53.62336386158891,198400
2005-06-28,53.472930908203125,53.59740607190243,53.4677432889257,53.55072936938798,93800
2005-06-29,53.4470100402832,53.597415412593286,53.36402394535852,53.597415412593286,166800
2005-06-30,53.61814880371094,53.61814880371094,53.415875193118104,53.51960778636688,123000
2005-07-01,53.42717361450195,53.57286453141744,53.33351460080204,53.56245973868622,123100
2005-07-05,53.2294921875,53.333556074854876,53.16705147321737,53.2503017891447,141600
2005-07-06,53.31269454956055,53.364726446436165,53.25025389144223,53.328303721645305,228700
2005-07-07,53.3803596496582,53.500036639150494,53.33353211232278,53.43239553973897,166100
2005-07-08,53.291900634765625,53.437591587615785,53.27629145692893,53.380355289027406,231100
2005-07-11,53.29705810546875,53.317871647524605,53.15136728085502,53.166976444952596,141800
2005-07-12,53.27110290527344,53.323138806567215,53.21907097376157,53.323138806567215,127900
2005-07-13,53.19824981689453,53.22947214717239,53.10979514896684,53.22947214717239,251100
2005-07-14,53.19824981689453,53.27109530457396,53.104590765623634,53.260690507668905,139100
2005-07-15,53.224273681640625,53.22427368164062,53.141019418018054,53.17224175176741,111600
2005-07-18,53.130638122558594,53.219092839449615,53.09421535855738,53.19827926433699,74300
2005-07-19,53.1566047668457,53.22424584332383,53.12017806822705,53.13058683062658,127300
2005-07-20,53.24505615234375,53.27107011719726,53.03172020373581,53.078551692119284,159200
2005-07-21,52.96932601928711,53.15664418358185,52.964121634228185,53.15143979852292,135000
2005-07-22,53.047359466552734,53.14101852666626,52.94329560855181,53.047359466552734,125100
2005-07-25,53.047359466552734,53.16183209222279,52.95890479027378,53.047359466552734,97400
2005-07-26,53.104576110839844,53.10457611083984,53.01091708541517,53.01091708541517,113000
2005-07-27,53.07338333129883,53.11501046705148,53.02135139649908,53.026555780913704,73000
2005-07-28,53.2294921875,53.23989698832235,53.0629875858625,53.0629875858625,403000
2005-07-29,53.062984466552734,53.146234777586194,52.97452580074002,53.146234777586194,106000
2005-08-01,53.03216552734375,53.06348952750721,52.92254148354219,53.03216552734374,220300
2005-08-02,52.91730499267578,53.02692899682031,52.82855833747678,52.99560500798845,90200
2005-08-03,53.08958053588867,53.08958053588867,52.906873822645146,53.00605917385205,167700
2005-08-04,53.03739929199219,53.08960066089183,52.96431657899087,53.079161980195565,196200
2005-08-05,52.77634811401367,52.87553342698611,52.776348114013665,52.844213426134225,86100
2005-08-08,52.76593017578125,52.85989419796636,52.70850749651769,52.81813152528238,86400
2005-08-09,52.85988998413086,52.85988998413086,52.7241633000815,52.818127314776085,103300
2005-08-10,52.86512756347656,52.948652934153216,52.802487518177955,52.938214254173076,128400
2005-08-11,53.006103515625,53.02176353518789,52.854716688665484,52.88603672779125,126800
2005-08-12,53.15746307373047,53.18356176537677,53.00607632442971,53.032175016076025,93400
2005-08-15,53.1104621887207,53.16788486789783,53.07392084585414,53.16788486789783,145300
2005-08-16,53.23576736450195,53.26186605627103,53.162680672505275,53.162680672505275,279600
