name,total_return,annualized_return,volatility,sharpe_ratio
test index,6.402667322184098,0.10544851441733627,0.13304122292545684,0.5743028010152396
everything,5.760157924392575,0.1004335340646465,0.12171869934937977,0.5865242317367629
bond lover,0.7712183159156774,2.904256744075351e-2,5.268494643779066e-2,0.0
fortune 500 lover,6.098469679627206,0.10312797100441995,0.1903479782567299,0.3892103517051519
aggressive,1.8639525131341155,5.711287559078637e-2,0.1308117168011862,0.21458558022516774
conservative,3.5211108851199846,8.082014337693666e-2,0.12154973685504145,0.42597851114998614
